［受付年月日］,［契約当事者年齢］,［契約当事者性別等］,［契約当事者地域］,［超大分類］,［商品・役務名］,［件名］,［相談概要］,［契約・申込の有無］,［契約購入年月日］,［販売購入形態］,［決済・販売方法］,［信用供与の有無］,［信用供与の有無詳細］,［支払手段］,［契約購入金額］,［内容別分類］,［内容等ＫＷ］,［処理結果概要］,［救済金額］,［救済金額の内容］
2024年3月28日,73歳,1.男,201.奈良市,1.商品,商品一般,銀行口座の残高不足でカード請求１５０００円を滞納した。ひと月遅れて入金したが、クレジットカードが使えなくなった。不審だ。,クレジットカードの引き落とし口座の残高不足で、１５０００円が引き落としできなかった。その後、カード会社から督促電話がきたが、知らない電話番号だったので、詐欺を疑い無視したために滞納に気づくのが遅れてしまった。しかし、２回目の振込期限までにカード会社の口座へ１５０００円を振込した。振込後、滞納を担当する部署から電話があり、「滞納情報が記録されるとカードが使えなくなる」と注意された。滞納の連絡はメールがいいと要望したが断られ、担当者から高圧的な言い方をされた。それで、「このカードが使えなくなったときは、別のカードを使うからいいです」と伝え電話を切ったところ、昨日からクレジットカードが停止されている。担当者に嫌がらせされているとしか思えない。不審だ。,1.既に契約・申込した,2024,9.不明・無関係,,2.販売信用,205.２か月内払い,,"15,000円",08.契約・解約　09.接客対応,ﾊﾝﾊﾞｲﾀｲﾄﾞ　ﾅﾝｶｲ　ﾔｸｿｸﾌﾘｺｳ　ｸﾚｼﾞﾂﾄｶｰﾄﾞ　ｹｲﾔｸｷﾖﾋ　ｸﾚｰﾑｼﾖﾘ,自身でコールセンターへ確認することを勧めた。後刻、「振り込んだ日が、当日の入金時間を過ぎていたため、クレジットカードが利用停止された。現在審査中だが、入金確認できれば来月からは利用できるようになるようだ」と報告があった。後日、クレジットカードの再開を確認し終了した。,,
2024年3月28日,30歳,1.男,201.奈良市,2.役務,副業,ＳＮＳで知り合った女性から、予約サイトで予約を取る仕事の勧誘を受け契約。手数料を個人名義口座に振り込んだ後詐欺と知った。,１４日前に、ＳＮＳで知り合った女性から、「予約サイトで４０件予約を取れば、報酬を得られる仕事をしないか」と勧誘を受けた。紹介された業者と公式メッセージアプリで連絡を取り、副業契約をした。業者から、「まずは手数料として５万円を振り込んで欲しい」と言われ、個人名義口座に振り込んだ。その後も「報酬を受け取るため」「手数料として」など、次々に現金振り込みを要求され、総額３７万５０００円支払った後で、詐欺なのではないかと思った。メッセージアプリで返金を求めたら「返金はできない」と言われるのみである。先程警察に行き、振り込め詐欺救済法に基づく口座凍結の手続きをした。警察に、「消費生活センターなら、詐欺業者に問い合わせてもらえる」と情報提供された。業者に返金交渉して欲しい。,1.既に契約・申込した,2024年3月14日,2.通信販売,,1.無,101.即時払,,"375,000円",07.販売方法　08.契約・解約,ﾘｼﾖｸｼﾖｳﾎｳ　ｻｷﾞ　SNS　ｺｳｶｶｸ･ﾘﾖｳｷﾝ　ﾍﾝｷﾝ　ﾃｽｳﾘﾖｳ　ﾚﾝﾗｸﾌﾉｳ,相手と連絡が取れなければ斡旋は不可能であると説明した。詐欺の可能性が極めて高いので、警察の指示に従うしかないと伝えた。,,
2024年3月28日,67歳,1.男,201.奈良市,1.商品,商品一般,スマホのＳＭＳに法律事務所から頻繁に連絡が来る。代金の督促を受けているようだが心当たりが無い。詐欺の可能性はあるのか。,スマホのＳＭＳに、法律事務所から頻繁に連絡が来るようになった。通販の後払い決済業者に対して、１万６１００円の未納があり、その督促を受けているようだが、心当たりが無い。詐欺の可能性はあるのか。後日自宅に督促状が届くようだが無視をしてよいか。,3.不明・無関係,,9.不明・無関係,,4.不明・無関係,,,"16,100円",08.契約・解約,ﾌﾄｳｾｲｷﾕｳ@　ｼﾖｰﾄﾒﾂｾｰｼﾞ　ｻｷﾞ　ｹﾂｻｲﾀﾞｲｺｳｷﾞﾖｳｼﾔ@,メッセージに記載されている法律事務所の電話番号と、法律事務所の公式ホームページに記載されている電話番号が一致していることを確認し、その旨を相談者に伝えた。督促状が届いたら無視をせずに、内容を確認するよう助言した。,,
2024年3月28日,,2.女,201.奈良市,1.商品,健康食品,同居の高齢の母が、訪販業者に勧められるがまま健康食品を買ったり、テレビショッピングを見て健康食品を買うことを止めたい。,同居の高齢の母が、訪販業者に勧められるがまま健康食品を買ったり、テレビショッピングを見て健康食品を買うことを止めたいが、母は聞く耳を持たない。私が母に黙って、母の契約を取り消すことは可能か。,1.既に契約・申込した,,1.訪問販売,,4.不明・無関係,,,,07.販売方法　08.契約・解約,ｶﾃｲﾎｳﾊﾝ　ｶｲﾔｸ@　ﾃﾚﾋﾞｼﾖﾂﾋﾟﾝｸﾞ,第三者が勝手に契約を取り消すことはできないことを説明し、本人との話し合いが必要であると伝えた。,,
2024年3月28日,60歳,2.女,201.奈良市,1.商品,草刈り機,ネット通販で草刈り機を購入。組み立てられず苦情を入れると、返品に応じるとのことだが、返品ではなく組み立てをして欲しい。,今月初旬ネット通販で５０００円の草刈り機を購入した。届いた商品を組み立てられず、苦情を入れ、組み立てを求めた。業者は、「返品は未開封のみの対応であるが、事情を鑑み、初期不良として返品に応じる」とのことだ。業者が組み立てに応じないことは、問題ではないか。,1.既に契約・申込した,202403,2.通信販売,,4.不明・無関係,,,"5,000円",08.契約・解約,ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ﾅﾝｶｲ　ﾍﾝﾋﾟﾝ　ｱﾌﾀｰｻｰﾋﾞｽ,通信販売は原則として業者の規約に従うことになることを説明し、業者の対応に問題はないことを伝えた。,,
2024年3月28日,77歳,2.女,201.奈良市,2.役務,還付金詐欺,役所の職員を名乗る男性から「保険料の払い戻しがある」と自宅に電話がかかってきた。不審に思い電話を切ったが詐欺だろうか。,今朝、役所の職員を名乗る男性から「保険料の払い戻しが２万３３６８円ある。以前申請書類を送付したが、期日までに返送がなかったので連絡した」と自宅に電話がかかってきた。携帯電話番号や口座番号を訊かれたが、不審に思い教えずに電話を切った。詐欺だろうか。今後の対処方法を知りたい。,3.不明・無関係,,9.不明・無関係,,4.不明・無関係,,,,07.販売方法,ｶﾝﾌﾟｷﾝｻｷﾞ　ﾐﾌﾞﾝｻｼﾖｳ　ｺｼﾞﾝｼﾞﾖｳﾎｳ,還付金詐欺の同種事例を情報提供し、相手にしないよう助言した。,,
2024年3月28日,55歳,2.女,201.奈良市,1.商品,健康食品,５か月前に、先日健康被害の問題で回収されることになった商品を購入し２０日間飲み切った。健康被害は無いが返金して欲しい。,５か月前に量販店で、先日健康被害の問題で回収されることになった商品を購入し、代金２０００円をクレジットカードで支払った。その後２０日間服用し、尿が赤くなったことはあるが、その後の健康診断でも異常は見られなかった。現在健康被害の自覚症状は無い。業者に返金を求めたいが、商品の空き袋と領収書は処分している。クレジットカードの利用明細のみで返金は可能だろうか。,1.既に契約・申込した,202311,0.店舗購入,,2.販売信用,205.２か月内払い,,"2,000円",01.安全・衛生　02.品質・機能、役務品質　08.契約・解約,ﾍﾝｷﾝ　ｹｲﾔｸｼﾖ･ｼﾖﾒﾝ@　ﾌﾝｼﾂ　ﾘｺｰﾙ,購入店舗で領収書の控えを受け取り、製造メーカーの専用相談窓口に、返金の問い合わせをするよう助言した。,,
2024年3月28日,71歳,2.女,201.奈良市,2.役務,貸土地,造成工事費を負担する条件で、駐車場運営会社に所有地を貸す契約をした。見積額から５０万円の追加費用を請求され納得できない。,知人に紹介された駐車場運営会社に、所有する更地を貸す契約をした。こちらの負担でコンクリートを敷くことが契約条件であり、下請業者に見積額１８０万円で造成工事を依頼した。元々古民家が建っていた土地で、盛土を削り取るのに想定より作業が必要となったため、追加費用５０万円を請求された。業者からは「実際に作業してみて、見積額より費用がかかることはよくあること」と言われたが、納得できない。訴訟まで考えていないが、相談できるところを教えてほしい。,1.既に契約・申込した,,0.店舗購入,,4.不明・無関係,,,"2,300,000円",08.契約・解約,ﾐﾂﾓﾘ@　ﾌﾄｳｾｲｷﾕｳ@　ｾﾂﾒｲﾌﾞｿｸ,事業者としての契約となるので、法律相談と調停を案内した。,,
2024年3月28日,83歳,1.男,201.奈良市,1.商品,フィッシングメール,国の機関から未払い税金を通知するメールが届いた。ＵＲＬにアクセスするよう促しているが、心あたりがなく不審だ。対処法は。,自宅のパソコンで確定申告について調べていたら、国の機関を名乗るところから未払い税金を通知するメールが届いた。リンク先にアクセスして手続きするよう記載されているが、心あたりがなく開かなかった。詐欺だろうか。対処方法を知りたい。,3.不明・無関係,,9.不明・無関係,,4.不明・無関係,,,,06.表示・広告,ﾒｲﾜｸﾒｰﾙ　ﾌｲﾂｼﾝｸﾞ　ｾﾞｲｷﾝ,フィッシングメールの同種事例を情報提供し、リンク先にアクセスせず、メールを削除するよう伝えた。また、公式サイトの注意喚起情報を確認するよう案内した。,,
2024年3月27日,50歳,1.男,201.奈良市,1.商品,電気温水器,１１カ月前に設置した電気温水器が昨晩故障した。設置業者に連絡したが「電話が使われていない」状態だった。今後の保証が心配。,昨晩、１１カ月前に設置した電気温水器が故障した。設置業者に電話したが、「この電話は使われていません」となった。業者が倒産したのかもしれない。業者とは１０年の保証契約を結んでおり、今後、どうなるのか心配だ。なお、設置後１年未満なので、メーカーに修理を依頼している。,1.既に契約・申込した,202304,0.店舗購入,,4.不明・無関係,,,,02.品質・機能、役務品質　08.契約・解約,ｱﾌﾀｰｻｰﾋﾞｽ　ﾚﾝﾗｸﾌﾉｳ　ｷﾉｳｺｼﾖｳ　ﾎｼﾖｳｷｶﾝ,センターから設置業者に電話をすると、呼び出し音は鳴ったが、業者と連絡が取れなかった。相談者に状況を伝え、改めて、電話やＦＡＸ、メール等で業者に連絡をしてみるよう助言した。その後「電気温水器は保証期間内であったので、製造メーカーが修理し、２日後に使用できるようになった」と相談者から連絡があった。,,
2024年3月27日,72歳,1.男,201.奈良市,2.役務,賃貸アパートのサブリース契約,アパート建築工事をハウスメーカーに相談。提携ローンを利用するにはサブリース契約が条件だったが、独占禁止法違反ではないか。,「銀行ローンを利用して２００坪の空き地に４戸分のアパートを建築したい」とハウスメーカーに相談した。ハウスメーカーの営業員から「提携ローンを利用すれば、工事代全額の融資が受けられる。だだし、提携ローンを利用した場合は、アパートをサブリース契約をすることが条件になる」と言われた。サブリース契約は一定の賃料が見込まれ、手間もかからないメリットはあるが、一括借り上げされ通常の賃料よりも低額になるため不満だ。ハウスメーカーが、提携ローンとサブリース契約をセット販売する行為は、独占禁止法違反に当たるのではないか。,2.まだ契約・申込していない,,0.店舗購入,,1.無,101.即時払,,,03.法規・基準　07.販売方法,ﾎｳﾘﾂｲﾊﾝ　ﾀﾞｷｱﾜｾﾊﾝﾊﾞｲ　ｻﾌﾞﾘｰｽ　ｷﾞﾝｺｳﾄｳ,「独占禁止法では不公正な取引や優越的地位の乱用を規制しているが、センターでは判断はできない」と伝え、無料法律相談を案内した。また、サブリース契約に関するトラブルを情報提供し、契約前に家族とも相談し、契約内容やローン返済などの事業契約を確認するよう助言した。,,
2024年3月27日,65歳,1.男,201.奈良市,2.役務,光回線,２年前、契約した光回線の契約更新で、業者とトラブルになっている。ギガ数などを勝手に増やし契約内容を値上げしており不納得。,２年前、契約した光回線の契約更新で、業者とトラブルになっている。ギガ数を１ギガから５ギガにすると言われ、月額料金も４０００円から６０００円に値上がりすると説明された。担当者に誠意がなく、解約すると言うと、今月内に解約しないと１か月分の解約料がかかると急かす。すでに３カ月間交渉しているが、らちが明かず、困惑している。,1.既に契約・申込した,202203,1.訪問販売,,1.無,101.即時払,,"6,000円",04.価格・料金　08.契約・解約　09.接客対応,ﾈｱｹﾞ　ｹｲﾔｸｺｳｼﾝ　ｾﾂﾒｲﾌﾞｿｸ　ｸﾚｰﾑｼﾖﾘ　ｶｲﾔｸ@　ｶｲﾔｸﾘﾖｳ,センターから、業者にも内容を確認したい旨伝えると、拒まれ切電された。,,
2024年3月27日,26歳,1.男,201.奈良市,2.役務,車の修理・車検,３年前新車で購入した車の修理依頼を、２カ月程前ディーラーにしたが、いまだに修理が追わらず、車検の時期も過ぎた。,３年前新車で購入したフランス製車の車検も含めた修理依頼を、２カ月程前ディーラーにした。しかし、いまだに修理が追わらず、車検の時期も過ぎた。４カ月前に、車検の契約は１０万円の見積でしていたが、車検代金も１２万円かかると、突然値上げしてきた。修理も終わらず、車検時期も過ぎ、料金も勝手に値上げされ、全く納得できない。業者が説明すると言っているが、信用できない。,1.既に契約・申込した,202312,0.店舗購入,,1.無,101.即時払,,"120,000円",04.価格・料金　08.契約・解約　09.接客対応,ﾈｱｹﾞ　ﾐﾂﾓﾘ@　ﾔｸｿｸﾌﾘｺｳ　ﾌﾄｳｾｲｷﾕｳ@　ｸﾚｰﾑｼﾖﾘ　ｼﾝﾖｳｾｲ　ﾌﾗﾝｽ,まずは、業者の説明を聞いて、納得できなければ再度相談してくるよう伝えた。その後、相談なく終了とする。,,
2024年3月27日,67歳,1.男,201.奈良市,2.役務,司法書士、税理士,７カ月前、父が死亡し、兄と二人で財産相続することになった。兄がネットで調べ、司法書士と税理士と契約したが、高額すぎる。,７カ月前、父が死亡し、兄と二人で父の財産を相続することになった。兄がネットで調べ、相続手続きのために司法書士と税理士と契約したが、高額すぎる。司法書士にはすでに８２万円支払い、税理士とは１５８万円の契約をしている。司法書には、これ以外にも作業が生じれば追加請求されると言われている。こうした契約は、こんなに高額なものなのか。,1.既に契約・申込した,202308,2.通信販売,,4.不明・無関係,,,"2,400,000円",04.価格・料金　06.表示・広告　07.販売方法,ｺｳｶｶｸ･ﾘﾖｳｷﾝ　ﾃﾞﾝｼｺｳｺｸ　ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ,相談者には、「こうした役務には料金の基準がないため、高額かどうかは判断しかねる」と伝えた。また、「こうした契約は委任契約なので、いつでも解約できるのではないか。そして相続手続きの多くは、管轄の法務局に行けば教えてもらえるのではないか」と助言した。,,
2024年3月27日,53歳,2.女,201.奈良市,1.商品,エアコン,５年程前に通販で購入したエアコンが故障。ガス漏れが原因で修理してもらったが、保証期間後の再発は有償修理になるのが不満だ。,５年程前、テレビショッピングでエアコンを４０万９９６８円で２台購入した。その内の１台が作動しなくなり、昨日、販売業者に連絡して修理に来てもらったところ、ガス漏れが原因と分かった。室外機周辺をスプレーしてもらい直ったが、作業員から「どこかに小さな穴が開いていて、少しずつガス漏れしたのだろう。保証サービスの範囲内で処置したが、また同じ症状になるおそれがある。パーツ交換まですると２０万円程かかる」と言われた。設置に問題があったかもしれないのに、業者からは「５年の保証期間経過後の修理は、有償になる」と言われ不満だ。,1.既に契約・申込した,201904,2.通信販売,,4.不明・無関係,,,"409,968円",02.品質・機能、役務品質,ｷﾉｳｺｼﾖｳ　ｶﾞｽﾓﾚ　ｱﾅｱｷ　ﾎｼﾖｳｷｶﾝ　ｼﾕｳﾘﾀﾞｲ　ｱﾌﾀｰｻｰﾋﾞｽ　ｺｳｶﾝ,原則、規約に則るため、保証期間経過後の修理は有償になると説明した。業者に責任を求めるには、エアコンの取付不良とガス漏れの因果関係を相談者側が立証する必要があるとも伝えた。,,
2024年3月27日,,4.不明,,2.役務,身に覚えのないアプリ請求,クレジットカードで身に覚えのない請求が上がっていた。請求元のプラットフォーマーに不正使用の返金を申請したが断られた。,クレジットカードの利用明細に、利用した覚えのないプラットフォーマーからの請求が複数件、合計１万６４８０円上がっていた。今月初めから中旬にかけて、何度かプラットフォーマーから利用通知メールが来ていたが、迷惑メールと思い無視していた。カード会社から「まずプラットフォーマーに申し出るように」と言われたので、プラットフォーマーに電話で返金を求めたが、断られた。プラットフォームＩＤを持っているが、アプリを購入したことはない。カードは財布に保管していて、紛失したり他人に貸したこともないし、単身赴任中で家族が勝手に使ったとも考えにくい。不正使用なので返金してほしい。今、プラットフォーマーに再申請して審査待ちだ。,1.既に契約・申込した,2024年2月16日,2.通信販売,ａｕ　ＰＡＹカード,2.販売信用,205.２か月内払い,,"16,480円",08.契約・解約,ｸﾚｼﾞﾂﾄｶｰﾄﾞ　ﾒｲｷﾞﾎﾞｳﾖｳ　ﾌﾄｳｾｲｷﾕｳ@　ﾍﾝｷﾝ　ｸﾚｰﾑｼﾖﾘ　ﾌｲﾂｼﾝｸﾞ,再申請しても解決しないようであれば連絡してほしいと伝えた。後日相談者より「再申請の結果、返金を断られた」と再相談を受けたので、センターからプラットフォーマーに連絡した。その後、カード会社の調査の結果不正使用が認められ、全額請求取消となった。プラットフォーマーに報告し、相談終了とした。,"16,480円",01.回復額
2024年3月27日,56歳,1.男,201.奈良市,1.商品,文具,夫がネットで文具を注文。配送業者が宅配ボックスに無理に商品を入れ開かなくなった。サイトに苦情を伝えたが埒が明かない。,２か月前、夫がネット通販で文具を注文しカード決済した。配送業者がマンションの宅配ボックスに無理やり商品を入れたため、宅配ボックスが開かなくなった。その様子が録画されたデータをマンション管理人から見せられ、「通販サイトへ連絡し対応を求めてほしい」と言われている。それで、私がネットや電話で通販サイトへ問い合わせしたが、「商品は発送済みです」と言われるだけで何もしてもらえなかった。商品は、宅配ボックスを開けられず入ったままで受取れていない。今後、管理会社と警察へ相談することになっているが、通販サイトと交渉する方法がなく困っている。,1.既に契約・申込した,2024年1月6日,2.通信販売,,2.販売信用,205.２か月内払い,,"3,000円",08.契約・解約　09.接客対応,ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ﾊｲｿｳﾐｽ　ｸﾚｰﾑｼﾖﾘ　ｷﾉｳｺｼﾖｳ,まずは、管理会社が修理業者を手配し宅配ボックスを開けるべきと思われる。宅配ボックスにある商品が壊れていないかを確認し、異常があれば、販売店に対し返品や交換を求める必要があると助言した。「仮に宅配業者が宅配ボックスを壊したとすれば、管理会社から宅配業者へ損害賠償請求するべきであると思われる」と付言した。,,
